AK4_pt	AK8_pt	H_t	t_tag	b_tag	Minv	signal
31.78125	170.625	31.78125	-10.0	0.14953613	5.357805157846329	False
30.25	181.625	30.25	0.019851685	0.47314453	2.245270354369154	False
28.96875	240.5	28.96875	0.059448242	0.2602539	2.952834179424272	False
27.625	243.5	27.625	0.002986908	0.953125	5.34806339963184	False
65.25	470.0	65.25	5.7190657e-05	0.28051758	2.197594672143282	False
25.703125	302.5	104.328125	0.000109136105	0.15356445	1.860674017009046	False
53.75	198.625	53.75	0.0002207756	0.97998047	1.659312649973728	False
50.90625	170.125	50.90625	0.0003809929	0.99902344	1.4780774349177932	False
27.796875	234.0	59.078125	0.0008277893	0.12780762	8.147695698072908	False
25.265625	219.375	25.265625	1.6391277e-05	0.11834717	4.689088152404068	False
32.1875	204.75	32.1875	0.011756897	0.55322266	1.2281415375065308	False
36.6875	196.125	36.6875	0.0005106926	0.05697632	9.730858517029006	False
28.78125	178.75	28.78125	2.5376678e-05	0.05166626	2.3076231695653036	False
80.75	233.5	80.75	7.390976e-06	0.9682617	0.24268681936113978	False
31.671875	419.0	31.671875	0.0030174255	0.08935547	1.7417087196547811	False
40.53125	231.5	40.53125	1.7760321e-06	0.97802734	0.054601089251249846	False
26.71875	171.5	26.71875	2.6240945e-05	0.453125	2.2301751907068166	False
81.75	178.875	81.75	0.00041365623	0.9873047	0.6875840105188047	False
134.0	227.75	134.0	0.03677368	0.359375	6.135674117699281	False
28.609375	211.875	28.609375	0.0026016235	0.42797852	0.413113229241759	False
31.1875	206.5	31.1875	2.0507723e-06	0.3383789	1.6208990326986026	False
58.53125	381.0	58.53125	3.1292439e-06	0.049041748	0.4728946362433959	False
111.3125	255.75	111.3125	0.0022392273	0.09136963	1.2916498559567913	False
29.40625	178.75	93.65625	0.00023972988	0.29711914	1.5463662148929131	False
41.25	231.5	41.25	1.8775463e-05	0.99560547	1.6657261398467966	False
30.140625	484.0	30.140625	5.13345e-06	0.9550781	1.2241405166897437	False
33.28125	194.125	33.28125	1.9706786e-06	0.062927246	3.296572722982262	False
75.8125	541.5	75.8125	0.0013685226	0.06896973	0.855113409531441	False
28.765625	514.0	28.765625	2.1904707e-06	0.22094727	0.9352009671503794	False
37.53125	284.75	37.53125	0.00087833405	0.11639404	3.6133358595562726	False
25.6875	195.75	85.6875	0.0013170242	0.98535156	0.7825667159765999	False
38.125	174.75	38.125	1.4580786e-05	0.115234375	0.9629333041961132	False
49.0	260.5	49.0	0.01260376	0.10992432	1.2526703208910703	False
69.3125	186.75	69.3125	1.0736287e-05	0.06750488	1.1351531152469079	False
29.1875	193.875	29.1875	2.5838614e-05	0.2109375	6.230358226640519	False
26.0	179.75	26.0	0.0007176399	0.052764893	5.329080564998208	False
32.625	411.25	32.625	0.0013122559	0.060272217	3.6004368969865794	False
45.84375	182.75	45.84375	5.0582457e-08	0.87646484	1.2737969753060554	False
41.03125	416.75	105.0	0.011909485	0.050720215	9.576917252564684	False
67.1875	450.25	67.1875	4.3034554e-05	0.21118164	0.8841293382325546	False
34.875	189.0	80.125	5.6717545e-07	0.13061523	0.22739260121849725	False
42.3125	223.875	42.3125	1.32620335e-05	0.9370117	4.54057342194352	False
32.78125	411.5	32.78125	7.0780516e-06	0.04949951	0.86311362618423	False
25.828125	323.5	25.828125	4.8071146e-05	0.064453125	2.8472945424177283	False
44.03125	188.25	44.03125	0.0105896	0.99609375	0.726833219883602	False
30.140625	335.0	65.578125	0.96728516	0.97021484	0.6543410053232321	False
32.3125	182.0	32.3125	1.6883016e-05	0.18481445	2.8176014568539642	False
26.921875	179.625	26.921875	1.3552606e-05	0.05822754	7.6678371004817905	False
73.5625	185.375	73.5625	1.0011718e-06	0.9995117	2.6880098073233682	False
34.0	260.75	34.0	0.0014104843	0.26171875	0.6151283679268431	False
41.03125	224.5	41.03125	2.206862e-05	0.0927124	0.21313703814566054	False
48.625	254.75	48.625	0.0045394897	0.20715332	2.9718834697303578	False
29.53125	204.25	29.53125	1.0142103e-06	0.074035645	1.5365120475143925	False
78.8125	274.0	78.8125	0.0064697266	0.11694336	0.4520550767408906	False
30.453125	325.5	30.453125	1.08629465e-05	0.2130127	2.415557713913344	False
28.71875	180.25	28.71875	2.6062131e-05	0.050750732	2.5293058227294836	False
27.9375	178.0	27.9375	0.0004093647	0.5205078	0.6048109647507687	False
27.390625	230.125	27.390625	5.736947e-06	0.0758667	1.3550935580674661	False
33.78125	292.75	33.78125	3.0443072e-05	0.052978516	0.061193485459313024	False
38.625	230.875	38.625	0.0005970001	0.11730957	1.5563473892541566	False
51.40625	361.75	51.40625	0.011299133	0.1348877	3.0210280666610174	False
50.8125	204.125	50.8125	0.00013041496	0.15771484	6.045320051818464	False
54.21875	248.125	54.21875	6.5900385e-06	0.11798096	1.4317398826414376	False
117.5625	240.75	117.5625	0.36523438	0.07873535	0.18595504984203615	False
25.234375	195.625	25.234375	0.004371643	0.057556152	4.328467072815428	False
118.9375	207.75	118.9375	1.5839934e-05	0.27124023	2.2582200833189887	False
29.34375	170.125	29.34375	-10.0	0.20056152	0.2335850861362445	False
