lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
202.76527	374.5	0.8387716	2.5117188		0.49554962	209709.69	35563
63.027054	299.25	0.7956715	91.8125		0.49554962	209709.69	35563
79.005455	231.5	0.8582183	23.0	d	0.49554962	209709.69	35563
52.669857	256.75	0.6199387	62.6875		0.49554962	209709.69	35563
89.16085	203.75	0.90103674	84.3125		0.49554962	209709.69	35563
157.0579	299.0	0.8509887	74.875		0.49554962	209709.69	35563
42.481575	195.875	0.86124736	69.1875	b	-0.49554962	209709.69	35563
217.96732	219.5	0.8841279	26.59375		0.49554962	209709.69	35563
116.084236	187.75	0.72540987	-1.0	b	-0.49554962	209709.69	35563
51.39062	214.375	0.8145009	52.15625		-0.49554962	209709.69	35563
92.44374	316.5	0.6301038	93.75	a	0.49554962	209709.69	35563
48.863316	201.5	0.7980198	35.96875		0.49554962	209709.69	35563
119.64856	484.25	0.6407258	153.375	a	0.49554962	209709.69	35563
345.52863	295.75	0.35378742	116.25		0.49554962	209709.69	35563
173.17342	424.75	0.5925358	94.3125		0.49554962	209709.69	35563
229.1173	299.25	0.6968085	103.0625		0.49554962	209709.69	35563
51.54152	186.5	0.7066421	9.4140625		0.49554962	209709.69	35563
82.216835	203.25	0.75065964	52.0625		0.49554962	209709.69	35563
53.40086	223.875	0.79225534	1.7050781	b	0.49554962	209709.69	35563
104.75744	265.5	0.80694145	106.75		0.49554962	209709.69	35563
71.09713	221.125	0.9108092	75.5	c	0.49554962	209709.69	35563
113.108574	211.375	0.8231884	67.0625		0.49554962	209709.69	35563
202.77687	331.5	0.52889824	151.125		0.49554962	209709.69	35563
135.46309	323.75	0.84865296	97.1875	b	-0.49554962	209709.69	35563
84.25461	255.5	0.9037433	7.7421875	d	0.49554962	209709.69	35563
40.122883	204.125	0.89700836	59.65625		-0.49554962	209709.69	35563
186.20868	187.375	0.6298701	55.25	d	0.49554962	209709.69	35563
91.821465	371.25	0.6947917	107.0625		0.49554962	209709.69	35563
390.83554	633.0	0.7015113	168.75	a	0.49554962	209709.69	35563
117.69508	243.75	0.87100893	2.4863281	c	0.49554962	209709.69	35563
85.46339	222.5	0.7942029	30.8125		0.49554962	209709.69	35563
66.03907	462.75	0.6453392	180.125		0.49554962	209709.69	35563
108.04484	236.125	0.6381086	81.875		0.49554962	209709.69	35563
259.7509	247.125	0.8972243	5.4296875		0.49554962	209709.69	35563
174.97716	273.0	0.5449507	86.9375		0.49554962	209709.69	35563
170.41414	462.5	0.8380282	3.9921875	d	0.49554962	209709.69	35563
461.64157	491.25	0.60033447	144.125	d	0.49554962	209709.69	35563
159.07791	222.625	0.85976094	10.6484375	d	-0.49554962	209709.69	35563
206.66779	340.5	0.53768843	119.5	a	0.49554962	209709.69	35563
206.6503	342.5	0.8280061	95.75		-0.49554962	209709.69	35563
221.537	193.125	0.8133903	43.46875		0.49554962	209709.69	35563
111.358315	220.125	0.843692	7.5546875		0.49554962	209709.69	35563
176.40552	215.0	0.83565	90.625	b	-0.49554962	209709.69	35563
59.185772	206.0	0.8089402	87.625	c	0.49554962	209709.69	35563
82.51292	348.5	0.899067	112.8125	d	-0.49554962	209709.69	35563
279.2239	694.0	0.8495248	140.375		-0.49554962	209709.69	35563
61.736423	257.75	0.6060894	70.5		-0.49554962	209709.69	35563
151.85046	193.375	0.75392294	8.2890625	c	-0.49554962	209709.69	35563
342.55075	314.5	0.7512356	97.9375		0.49554962	209709.69	35563
198.32098	221.5	0.6615905	71.0625		-0.49554962	209709.69	35563
222.67303	288.25	0.700538	71.8125	b	-0.49554962	209709.69	35563
51.53562	329.25	0.85106385	137.5		0.49554962	209709.69	35563
148.28284	186.5	0.7078189	-1.0	d	0.49554962	209709.69	35563
191.21796	206.0	0.7792483	58.1875		0.49554962	209709.69	35563
77.7717	432.25	0.6829574	95.6875	b	0.49554962	209709.69	35563
73.43225	358.0	0.78610605	49.84375	d	-0.49554962	209709.69	35563
226.15686	280.5	0.8948498	81.625	b	0.49554962	209709.69	35563
162.35844	278.0	0.9047927	94.625	d	0.49554962	209709.69	35563
149.3568	206.5	0.71240103	85.5	b	0.49554962	209709.69	35563
100.54508	188.75	0.7550143	-1.0	d	0.49554962	209709.69	35563
220.38974	203.375	0.44617784	95.875	d	0.49554962	209709.69	35563
87.36931	501.75	0.39774698	171.375	a	-0.49554962	209709.69	35563
225.81337	325.5	0.7936792	77.0625	d	0.49554962	209709.69	35563
43.89214	283.75	0.8321457	81.125	b	-0.49554962	209709.69	35563
61.02723	305.0	0.664849	73.6875		0.49554962	209709.69	35563
268.64102	533.0	0.6421983	186.5	a	-0.49554962	209709.69	35563
178.57426	414.25	0.6810783	115.875		0.49554962	209709.69	35563
270.1116	276.0	0.8329533	112.9375		-0.49554962	209709.69	35563
63.159603	193.5	0.85916543	2.4980469		0.49554962	209709.69	35563
243.17578	342.0	0.62474436	114.0		0.49554962	209709.69	35563
61.355175	317.25	0.70556307	111.0625	b	0.49554962	209709.69	35563
172.34218	406.25	0.93357486	97.6875		0.49554962	209709.69	35563
181.93494	221.625	0.87374747	26.4375	c	0.49554962	209709.69	35563
