lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
93.73294	354.75	0.3372498	127.8125	a	0.49554962	289570.47	35563
136.23944	213.75	0.6817534	73.3125		0.49554962	289570.47	35563
232.16719	359.75	0.48724082	188.875	c	0.49554962	289570.47	35563
423.53598	895.0	0.5411855	183.25	a	-0.49554962	289570.47	35563
257.26974	363.5	0.4970809	163.75	a	0.49554962	289570.47	35563
152.26132	296.0	0.6396662	137.75	c	0.49554962	289570.47	35563
104.407394	225.0	0.8975721	74.75	a	-0.49554962	289570.47	35563
186.68929	455.25	0.5965682	163.25	a	0.49554962	289570.47	35563
183.35294	398.25	0.55289423	172.0	b	0.49554962	289570.47	35563
85.080536	273.0	0.6022422	97.1875	a	-0.49554962	289570.47	35563
85.39597	430.25	0.60670316	148.625	b	-0.49554962	289570.47	35563
82.34075	634.5	0.5216076	168.625	a	-0.49554962	289570.47	35563
155.13914	463.5	0.460401	202.75	a	-0.49554962	289570.47	35563
30.865816	369.25	0.88090646	153.125		0.49554962	289570.47	35563
53.74622	356.25	0.9283105	85.5	b	0.49554962	289570.47	35563
164.80583	386.0	0.5022401	152.25	a	0.49554962	289570.47	35563
247.1517	364.25	0.5340206	85.5625		0.49554962	289570.47	35563
233.87624	388.0	0.46914062	176.875	a	0.49554962	289570.47	35563
109.04608	287.5	0.6335643	109.875		0.49554962	289570.47	35563
146.66188	434.5	0.56392115	205.5	a	0.49554962	289570.47	35563
234.19984	328.0	0.62262356	145.875	a	-0.49554962	289570.47	35563
87.09039	373.25	0.5834564	186.75	a	0.49554962	289570.47	35563
695.2618	897.0	0.56487626	181.25	a	-0.49554962	289570.47	35563
161.34148	386.5	0.63929826	152.375		0.49554962	289570.47	35563
71.476776	359.75	0.75888985	120.125	a	0.49554962	289570.47	35563
129.21379	415.25	0.3768745	187.875	a	-0.49554962	289570.47	35563
195.638	424.5	0.5549763	123.4375		0.49554962	289570.47	35563
72.7971	374.5	0.6014207	117.5625		-0.49554962	289570.47	35563
348.80585	379.0	0.4571317	148.875		-0.49554962	289570.47	35563
287.34958	617.5	0.792827	195.25		0.49554962	289570.47	35563
86.59376	388.0	0.38785347	154.75	a	0.49554962	289570.47	35563
79.14506	264.0	0.6150774	124.5625		0.49554962	289570.47	35563
50.051556	255.75	0.69582504	79.75	b	-0.49554962	289570.47	35563
237.97672	586.0	0.4420712	162.125	a	0.49554962	289570.47	35563
116.586655	404.75	0.8226837	188.375		-0.49554962	289570.47	35563
482.50165	472.25	0.71327776	155.0		0.49554962	289570.47	35563
134.15701	332.0	0.43225807	152.625	a	-0.49554962	289570.47	35563
298.0882	386.0	0.35468084	173.875	a	-0.49554962	289570.47	35563
136.11879	339.0	0.6090487	146.5		-0.49554962	289570.47	35563
248.57806	571.5	0.8474664	160.125		-0.49554962	289570.47	35563
122.055885	374.25	0.6830093	141.625	a	0.49554962	289570.47	35563
271.4438	235.75	0.68155056	93.3125		0.49554962	289570.47	35563
225.49747	659.5	0.50535476	183.875		0.49554962	289570.47	35563
203.49562	431.0	0.7206573	96.125		-0.49554962	289570.47	35563
119.4426	235.875	0.5783274	118.0		0.49554962	289570.47	35563
140.1715	216.625	0.7329193	80.625		0.49554962	289570.47	35563
96.60807	359.75	0.8181115	148.125		0.49554962	289570.47	35563
416.5588	839.0	0.8052905	155.875	a	0.49554962	289570.47	35563
47.941082	296.5	0.6501096	128.875		0.49554962	289570.47	35563
198.30826	226.5	0.7862069	7.0351562		0.49554962	289570.47	35563
197.23586	703.0	0.9206349	141.75	a	-0.49554962	289570.47	35563
360.19708	661.5	0.85782903	129.25		0.49554962	289570.47	35563
417.08865	566.5	0.58817536	155.25	a	0.49554962	289570.47	35563
480.88846	720.5	0.567696	194.625	a	0.49554962	289570.47	35563
181.97218	518.5	0.38951695	203.875	a	0.49554962	289570.47	35563
566.58203	596.5	0.28213224	162.25	a	-0.49554962	289570.47	35563
133.19086	589.5	0.33709678	161.125	a	0.49554962	289570.47	35563
273.29895	404.0	0.7990521	146.875		0.49554962	289570.47	35563
155.47162	232.125	0.70818293	99.5625	b	0.49554962	289570.47	35563
59.88094	465.0	0.42844364	195.25	a	0.49554962	289570.47	35563
403.44128	666.5	0.9013209	184.75		-0.49554962	289570.47	35563
183.48901	316.75	0.9400844	132.875		0.49554962	289570.47	35563
209.16269	704.0	0.9151444	145.5		-0.49554962	289570.47	35563
158.85258	459.5	0.31192425	193.0	a	-0.49554962	289570.47	35563
68.00998	692.5	0.2534938	177.0	a	-0.49554962	289570.47	35563
228.21902	223.0	0.7906459	80.0		0.49554962	289570.47	35563
231.2426	489.25	0.41863996	174.125		0.49554962	289570.47	35563
66.30644	455.5	0.9010327	152.25		-0.49554962	289570.47	35563
180.00943	350.25	0.4709058	144.0		-0.49554962	289570.47	35563
54.15223	421.75	0.5999108	186.875	a	-0.49554962	289570.47	35563
167.20682	413.25	0.5673701	149.5	a	0.49554962	289570.47	35563
66.81328	354.5	0.41826123	196.5	a	0.49554962	289570.47	35563
291.71927	400.25	0.32834184	155.375		0.49554962	289570.47	35563
154.33678	202.875	0.67943704	79.1875		0.49554962	289570.47	35563
335.66925	289.75	0.8551532	84.625		0.49554962	289570.47	35563
48.308933	471.75	0.775037	158.0		0.49554962	289570.47	35563
310.80792	314.5	0.51964915	159.25		0.49554962	289570.47	35563
203.101	495.5	0.6989899	8.8671875	d	0.49554962	289570.47	35563
41.727894	444.0	0.7821337	133.5		0.49554962	289570.47	35563
190.96527	338.25	0.76586974	181.125		0.49554962	289570.47	35563
68.68252	242.25	0.81066823	52.09375		0.49554962	289570.47	35563
298.9054	323.0	0.9074188	131.625		0.49554962	289570.47	35563
293.3245	542.5	0.4518845	183.875	a	0.49554962	289570.47	35563
229.64093	418.25	0.73271275	194.75	a	0.49554962	289570.47	35563
102.68351	355.0	0.58184713	111.875		0.49554962	289570.47	35563
93.703384	328.5	0.61672276	125.25		0.49554962	289570.47	35563
84.79141	391.25	0.49565217	152.625	a	0.49554962	289570.47	35563
244.74873	304.0	0.8707865	113.5625		0.49554962	289570.47	35563
227.53679	254.625	0.6287879	140.5		-0.49554962	289570.47	35563
169.29988	654.5	0.5350941	275.5	a	0.49554962	289570.47	35563
109.73445	398.25	0.4109756	176.875		0.49554962	289570.47	35563
87.92377	360.75	0.6466912	140.25		0.49554962	289570.47	35563
131.55946	365.5	0.68665767	112.8125		0.49554962	289570.47	35563
