AK4_pt	AK8_pt	H_t	t_tag	b_tag	Minv	genWeights	sumWeight	signal
66.5625	176.0	143.0625	1.7225742e-05	0.9379883	0.7004066998119924	17623.23	209915.81	True
30.5	194.75	148.6875	0.006504059	0.050323486	2.073760910140109	-17623.23	209915.81	True
83.4375	174.5	83.4375	0.02482605	0.4206543	3.2833588211662743	17623.23	209915.81	True
45.15625	295.0	45.15625	0.42773438	0.9824219	4.493179041135889	17623.23	209915.81	True
62.5	218.125	62.5	0.0014190674	0.97216797	0.10534679589633811	17623.23	209915.81	True
131.375	185.5	131.375	0.0010232925	0.9975586	3.07078069365852	17623.23	209915.81	True
37.59375	179.5	230.59375	2.361834e-05	0.20300293	2.2098365904464004	-17623.23	209915.81	True
97.625	172.0	97.625	0.00013029575	0.6279297	0.13030757317817176	17623.23	209915.81	True
88.125	199.75	88.125	0.51220703	0.17675781	0.042498264540896	17623.23	209915.81	True
78.25	516.0	351.125	0.96240234	0.62841797	3.4825964985657123	-17623.23	209915.81	True
26.390625	213.25	204.89062	0.0002052784	0.9785156	2.1956020132302427	17623.23	209915.81	True
44.5625	262.0	195.71875	0.021057129	0.9995117	1.307274765427593	-17623.23	209915.81	True
59.46875	534.5	59.46875	0.4272461	0.9560547	2.787785250821514	17623.23	209915.81	True
25.359375	303.0	68.578125	0.0758667	0.9863281	0.4557913972044787	-17623.23	209915.81	True
56.75	187.375	56.75	0.0033359528	0.87109375	3.9381271442596955	17623.23	209915.81	True
56.84375	249.5	56.84375	0.234375	0.74121094	2.0282158988550947	17623.23	209915.81	True
46.53125	990.0	46.53125	0.34765625	0.5415039	1.3596001075160729	-17623.23	209915.81	True
46.84375	178.625	197.125	0.0030956268	0.6850586	0.8818511528865827	17623.23	209915.81	True
29.609375	423.75	71.984375	0.00039839745	0.5966797	2.771587030104257	17623.23	209915.81	True
155.5	215.375	155.5	0.0008802414	0.99560547	0.3435903704910288	17623.23	209915.81	True
31.328125	282.5	111.015625	2.2165477e-06	0.99560547	2.186867194960527	17623.23	209915.81	True
45.59375	208.875	94.71875	0.18615723	0.31933594	3.9567557552777544	17623.23	209915.81	True
40.375	282.75	97.03125	0.78222656	0.09387207	1.81201899978673	17623.23	209915.81	True
64.5	211.25	152.9375	0.49267578	0.45092773	0.07249901340254894	17623.23	209915.81	True
29.34375	171.875	127.28125	0.00012290478	0.87158203	4.316916763079277	17623.23	209915.81	True
31.984375	191.75	31.984375	0.002090454	0.9995117	0.8599320180210981	17623.23	209915.81	True
