lep_pt	AK8_pt	AK4_pt	GenT_pt	M_sd	genWeights	sumWeight	N_exp
130.82426	344.75	99.0	366.0	157.75	0.49554962	224808.1	35563
748.0967	397.5	83.5	482.0	175.375	-0.49554962	224808.1	35563
180.52985	405.5	76.25	387.0	120.125	-0.49554962	224808.1	35563
133.22064	407.0	93.5	371.0	111.1875	-0.49554962	224808.1	35563
126.131165	491.0	50.34375	478.0	98.5	0.49554962	224808.1	35563
64.089264	383.5	84.875	499.0	161.75	0.49554962	224808.1	35563
159.1853	651.0	193.125	654.0	172.875	-0.49554962	224808.1	35563
103.50579	366.0	133.25	344.0	139.25	0.49554962	224808.1	35563
92.33804	404.25	148.125	354.0	208.625	0.49554962	224808.1	35563
142.43933	816.5	317.75	786.0	303.0	-0.49554962	224808.1	35563
111.01346	352.5	69.125	382.0	104.0625	0.49554962	224808.1	35563
111.834465	329.0	133.25	313.0	127.8125	0.49554962	224808.1	35563
60.174023	535.5	122.125	530.0	184.5	0.49554962	224808.1	35563
278.46143	398.75	59.625	406.0	100.1875	-0.49554962	224808.1	35563
179.35281	455.0	69.3125	441.0	182.0	0.49554962	224808.1	35563
75.05896	210.625	93.5625	145.0	85.5	0.49554962	224808.1	35563
71.58144	612.5	127.4375	511.0	188.375	-0.49554962	224808.1	35563
120.28059	285.25	68.4375	169.0	59.875	0.49554962	224808.1	35563
176.06636	520.5	88.1875	456.0	149.875	0.49554962	224808.1	35563
43.77194	588.5	78.875	458.0	97.125	0.49554962	224808.1	35563
132.27806	261.0	71.6875	237.0	108.8125	0.49554962	224808.1	35563
193.87642	286.0	104.125	371.0	87.5	0.49554962	224808.1	35563
112.71371	284.25	126.1875	306.0	107.125	0.49554962	224808.1	35563
102.03662	322.25	76.5	284.0	142.5	0.49554962	224808.1	35563
373.10623	903.0	74.6875	806.0	234.5	0.49554962	224808.1	35563
207.98405	293.0	107.125	341.0	104.125	0.49554962	224808.1	35563
166.601	224.375	71.0	269.0	97.9375	0.49554962	224808.1	35563
485.07385	548.5	84.6875	570.0	163.75	0.49554962	224808.1	35563
36.872116	443.75	135.5	491.0	175.0	0.49554962	224808.1	35563
181.67522	352.5	99.3125	325.0	148.5	0.49554962	224808.1	35563
279.30743	379.5	103.75	423.0	89.25	-0.49554962	224808.1	35563
93.91475	521.0	56.875	548.0	169.125	0.49554962	224808.1	35563
388.60757	372.5	70.3125	370.0	100.25	0.49554962	224808.1	35563
106.80483	760.0	106.375	812.0	170.625	0.49554962	224808.1	35563
201.78688	349.5	64.8125	371.0	139.25	0.49554962	224808.1	35563
250.30661	353.5	96.5625	372.0	165.0	-0.49554962	224808.1	35563
